# SOC,Actual SOC,Current,Calculated SOC ,Time,Time final
0.965679416,96.5679416,12.49290657,96.39843448,7476.024087,575
0.965539905,96.5539905,12.49531628,96.38373694,7477.024087,576
0.965400394,96.5400394,12.49697399,96.36903657,7478.024087,577
0.965260878,96.5260878,12.49467659,96.35433425,7479.024087,578
0.965121361,96.5121361,12.4951479,96.33963463,7480.024087,579
0.964981843,96.4981843,12.49478869,96.32493446,7481.024087,580
0.964842323,96.4842323,12.49716544,96.31023471,7482.024087,581
0.964702805,96.4702805,12.49896878,96.29553216,7483.024087,582
0.964563286,96.4563286,12.49697399,96.28082749,7484.024087,583
0.964423768,96.4423768,12.49697399,96.26612517,7485.024087,584
0.964284248,96.4284248,12.49697399,96.25142284,7486.024087,585
0.96414473,96.414473,12.49512545,96.23672052,7487.024087,586
0.964005211,96.4005211,12.49469897,96.22202037,7488.024087,587
0.963865695,96.3865695,12.49697399,96.20732073,7489.024087,588
0.963726183,96.3726183,12.49865459,96.19261841,7490.024087,589
0.963586667,96.3586667,12.49779358,96.17791411,7491.024087,590
0.963447149,96.3447149,12.49290657,96.16321082,7492.024087,591
0.963307628,96.3307628,12.49290657,96.14851328,7493.024087,592
0.963168109,96.3168109,12.49436233,96.13381575,7494.024087,593
0.96302859,96.302859,12.49557433,96.1191165,7495.024087,594
0.962889072,96.2889072,12.49559398,96.10441582,7496.024087,595
0.96274956,96.274956,12.50104237,96.08971512,7497.024087,596
0.962610047,96.2610047,12.49857898,96.07500801,7498.024087,597
